taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
130,71649,True,9.0,0.004962005301736411,1.0,3.0,4.673886244888784
130,1357659,False,,,,4.0,0.0
131,572536,False,,,,4.0,0.0
131,1447096,False,,,,4.0,17.127635541658936
133,71491,False,,,,3.0,3.366664258789313
133,1232012,False,,,,4.0,0.0
134,582203,False,,,,4.0,0.18365954783945584
134,682785,False,,,,4.0,11.717323743510503
142,71252,False,,,,4.0,7.615885016054285
142,71272,False,,,,4.0,0.0
142,988171,False,,,,4.0,0.0
142,1044827,False,,,,4.0,0.0
143,71823,False,,,,4.0,2.0582951962332974
147,70566,False,,,,4.0,0.0
147,70579,False,,,,4.0,2.6748430548696627
147,70638,False,,,,4.0,45.38464194849075
148,70597,False,,,,4.0,1.9703619005653754
148,1229565,False,,,,4.0,1.775023696392138
149,71035,False,,,,4.0,1.6588743404832074
149,71039,False,,,,5.0,7.535391250202265
149,1226863,False,,,,4.0,0.0
150,71043,False,,,,5.0,10.242638383773977
150,71093,False,,,,4.0,1.6872153582396663
151,71054,False,,,,4.0,0.0
151,760302,False,,,,4.0,9.30501100631691
151,760810,False,,,,4.0,0.0
151,763184,False,,,,4.0,0.8695852196711368
160,1272932,False,,,,3.0,2.469302475701694
161,73048,False,,,,3.0,1010.5196271620175
162,72944,False,,,,4.0,8.513857470290352
162,72959,False,,,,3.0,19.866889846291855
164,71850,False,,,,4.0,0.0
167,1340463,False,,,,4.0,7.8496370338912715
168,77779,False,,,,4.0,0.0
169,78557,False,,,,4.0,0.0
170,476891,False,,,,4.0,465.0924894438303
173,79232,False,,,,4.0,0.0
173,1356309,False,,,,3.0,0.0
174,616669,False,,,,3.0,0.0
189,996639,False,,,,4.0,0.0
189,1273867,False,,,,4.0,5864.276298769589
190,79620,True,6.0,0.005491993137050368,1.0,4.0,0.0
192,80733,True,3.0,0.011992016153163467,1.0,3.0,0.0
193,995947,False,,,,3.0,0.0
194,79859,False,,,,3.0,384.973237793874
195,22085,False,,,,3.0,0.0
195,79824,False,,,,4.0,0.0
196,163158,False,,,,3.0,0.0
211,90788,False,,,,3.0,0.0
211,90801,False,,,,4.0,334.54517061027843
219,130324,False,,,,4.0,0.0
219,599386,False,,,,4.0,10.98166097970396
219,872958,False,,,,4.0,73.53248855510469
222,991529,False,,,,3.0,27.321758054274618
223,1451926,False,,,,3.0,0.0
252,131253,False,,,,4.0,4.621060483198085
252,533971,False,,,,4.0,13.803365514765002
257,480469,False,,,,4.0,0.0
258,589562,False,,,,4.0,4.755132797829335
258,974836,False,,,,4.0,0.0
265,91026,True,10.0,0.00973918064280009,1.0,4.0,0.0
265,91666,False,,,,4.0,0.0
265,131470,False,,,,4.0,13.692602866472066
266,131631,False,,,,4.0,33.9731911076824
266,586100,False,,,,4.0,0.0
278,91807,True,4.0,0.003020259382973987,3.0,4.0,0.0
278,813169,True,2.0,0.005004521397612699,1.0,3.0,0.7912931927072604
278,833595,False,,,,4.0,0.0
278,991725,False,,,,4.0,11.042690567520442
285,89095,False,,,,3.0,0.7777452520872131
285,598955,False,,,,4.0,0.0
291,783987,False,,,,4.0,0.0
292,21424,False,,,,4.0,0.0
292,986450,False,,,,4.0,0.0
293,79698,True,3.0,0.011044955402273203,2.0,4.0,0.0
319,163296,True,6.0,0.015190400519691397,3.0,4.0,0.0
322,69356,False,,,,3.0,0.0
334,873388,False,,,,4.0,9.34012612679856
335,64865,False,,,,4.0,0.0
335,65058,False,,,,4.0,6.93104244635242
338,64581,False,,,,4.0,0.0
340,64678,False,,,,4.0,0.0
348,69073,False,,,,3.0,979.9394850749624
349,69147,False,,,,4.0,143.02396679486654
350,69068,False,,,,3.0,1421.4715489496648
350,69145,False,,,,4.0,1798.490483257586
360,67425,False,,,,4.0,0.0
361,67572,False,,,,3.0,1110.8539421264288
362,67809,True,2.0,0.022050295993393976,1.0,4.0,12.983551548614146
365,67110,False,,,,4.0,0.0
367,543111,False,,,,4.0,0.0
367,986161,False,,,,4.0,0.0
371,66413,False,,,,4.0,0.0
371,66464,True,8.0,0.006921398252122611,1.0,4.0,0.0
372,582675,False,,,,4.0,0.49654272274143657
372,1449527,False,,,,4.0,0.0
373,66465,False,,,,4.0,1.3101815057552628
374,67718,False,,,,4.0,0.0
375,68014,True,6.0,0.012351554648892035,1.0,3.0,0.0
375,68035,False,,,,4.0,43.726773690782096
375,1223916,False,,,,4.0,483.3887435771258
377,67925,False,,,,3.0,0.0
378,67737,False,,,,4.0,202.94131999427327
379,1045129,False,,,,4.0,0.0
379,1045266,False,,,,4.0,10.256646728175065
393,63339,True,2.0,0.012221946458293942,1.0,4.0,0.0
393,63761,False,,,,4.0,2.4792241385377816
394,39296,True,6.0,0.01102819770364712,1.0,4.0,0.0
394,39383,False,,,,4.0,0.0
399,37601,False,,,,4.0,53.857394414100625
399,38961,False,,,,3.0,3.3831748023528756
399,39260,False,,,,3.0,0.0
400,36834,False,,,,4.0,1225.69738960913
400,37565,False,,,,4.0,0.0
400,38898,False,,,,3.0,3.476970962996517
401,38031,False,,,,4.0,17.450576968464006
403,38000,False,,,,4.0,743.1324295138248
403,1638957,False,,,,3.0,0.0
404,37146,False,,,,3.0,4257.950088131705
404,872568,False,,,,4.0,16.988278297313013
408,36139,False,,,,4.0,0.0
409,994099,False,,,,4.0,1466.4648434461483
414,551694,False,,,,4.0,0.0
415,35662,False,,,,4.0,15.227709663767907
419,52451,False,,,,4.0,0.0
419,52455,False,,,,5.0,0.0
419,561178,False,,,,4.0,0.0
419,993241,False,,,,4.0,0.0
420,37203,False,,,,4.0,6.633070615309262
420,927949,False,,,,4.0,3.312711380147229
424,36447,True,7.0,0.004121933505708868,1.0,3.0,21.052268169869084
424,36877,False,,,,4.0,7.292484715881493
424,37031,False,,,,4.0,0.0
425,37191,False,,,,4.0,0.0
489,82139,False,,,,3.0,0.0
489,83262,False,,,,4.0,0.0
489,764772,False,,,,4.0,0.0
490,83243,False,,,,3.0,0.0
490,1005290,False,,,,4.0,10.34295760693233
499,59796,False,,,,3.0,22.564022397626953
499,60520,False,,,,4.0,0.0
499,61391,False,,,,4.0,1.746585878552717
500,59767,False,,,,3.0,25.81507360780131
500,60494,False,,,,4.0,0.0
